,online_order,book_table,votes,approx_cost(for two people),location_code,rest_type_code,cuisines_code,listed_in(type)_code
909,1,1,576.5800000000017,600.0,28,26,2065,1
10532,1,1,487.0,700.0,0,16,988,4
9341,1,0,80.0,800.0,22,73,2055,2
38222,1,0,47.0,450.0,85,24,2185,2
43051,1,0,576.5800000000017,600.0,49,1,232,3
8280,0,1,576.5800000000017,1300.0,41,24,1917,0
33196,1,0,14.0,250.0,67,73,1077,2
9029,1,0,14.0,400.0,0,73,111,2
6824,1,0,295.0,500.0,54,36,1682,2
24555,0,0,9.0,250.0,35,73,1682,2
26299,1,0,268.0,600.0,2,73,1682,4
39134,1,0,576.5800000000017,750.0,15,20,608,4
23997,1,0,68.0,450.0,61,24,456,2
30374,1,0,21.0,850.0,0,73,110,2
10511,0,0,7.0,550.0,0,24,723,4
43610,1,0,26.0,400.0,48,73,1205,4
48468,0,0,8.0,800.0,8,73,918,4
24833,0,1,576.5800000000017,800.0,35,25,61,4
42789,0,0,576.5800000000017,450.0,26,86,987,2
10571,1,0,113.0,400.0,0,73,830,4
5568,1,1,576.5800000000017,1300.0,26,86,987,2
3630,0,0,0.0,150.0,1,14,309,4
25941,0,0,35.0,700.0,34,24,492,3
1019,1,0,16.0,400.0,28,86,110,2
13905,0,0,42.0,400.0,19,73,1617,2
39263,0,0,12.0,100.0,79,73,2185,4
10104,0,0,15.0,400.0,43,43,1077,2
22177,1,0,55.0,250.0,30,73,1320,2
1307,1,0,32.0,200.0,28,73,1116,2
50924,1,0,576.5800000000017,550.0,84,16,657,3
9291,1,0,576.5800000000017,1000.0,39,16,540,2
12597,1,1,576.5800000000017,1300.0,66,24,2167,4
47376,1,0,262.0,500.0,74,24,1682,2
18596,0,0,6.0,300.0,31,37,1323,3
45418,0,0,0.0,350.0,26,73,1469,2
9943,1,0,7.0,300.0,40,36,453,2
5422,1,0,6.0,1000.0,50,35,1057,2
8024,1,0,14.0,500.0,54,73,2266,4
31590,0,0,11.0,400.0,44,73,1895,4
5221,1,0,100.0,400.0,8,84,1558,2
44801,1,0,252.0,400.0,31,73,1957,2
45347,1,0,112.0,150.0,16,36,1299,2
35746,1,0,7.0,200.0,42,11,313,2
42212,0,0,23.0,800.0,27,24,1995,0
4901,1,0,20.0,200.0,72,73,1682,4
32352,1,0,192.0,750.0,46,36,2055,2
49814,0,0,4.0,150.0,72,73,2196,4
2777,1,1,442.0,1200.0,30,71,965,2
33459,0,0,6.0,400.0,0,73,1116,2
48424,0,0,121.0,600.0,67,24,1682,4
49534,1,0,0.0,600.0,72,36,1578,2
32685,1,0,58.0,300.0,74,73,1116,2
36542,0,0,0.0,200.0,39,37,1323,3
45600,0,0,24.0,300.0,26,0,227,3
28144,0,0,18.0,850.0,42,86,1057,3
37516,1,0,68.0,700.0,0,73,345,4
48930,1,0,15.0,400.0,72,5,227,2
45308,0,0,576.5800000000017,450.0,26,86,987,2
22048,1,0,34.0,100.0,3,73,2321,2
26194,1,0,51.0,700.0,21,24,1602,4
6236,0,0,43.0,1300.0,66,57,1229,4
6380,1,0,4.0,450.0,50,73,1682,4
12147,1,0,33.0,400.0,15,37,1057,2
12108,1,0,106.0,200.0,66,73,2211,2
36474,0,0,35.0,400.0,43,0,242,3
40222,1,0,35.0,300.0,53,73,2185,4
36635,1,0,47.0,400.0,45,73,1145,4
31350,0,0,107.0,1300.0,42,6,1229,4
26025,0,0,0.0,100.0,35,11,1401,4
12352,1,1,576.5800000000017,750.0,12,16,559,2
40935,1,1,364.0,700.0,84,24,1464,2
34422,0,0,9.0,150.0,43,73,1409,4
16474,1,0,51.0,600.0,22,36,1682,2
34114,1,0,267.0,650.0,45,24,1615,4
44133,1,0,159.0,400.0,69,84,1558,2
18070,1,0,73.0,500.0,16,73,1137,2
11654,1,0,104.0,800.0,8,16,581,1
15062,1,0,38.0,300.0,20,73,280,2
19523,1,0,67.0,500.0,4,73,2128,2
48750,0,0,15.0,200.0,14,73,2185,4
29891,1,1,523.0,1300.0,44,24,26,2
32084,1,1,576.5800000000017,1300.0,44,6,930,6
15544,0,0,7.0,200.0,75,73,1682,4
43531,1,0,576.5800000000017,400.0,49,73,2296,4
42169,0,1,274.0,1300.0,50,46,1373,0
10778,0,0,5.0,400.0,0,73,1617,4
8687,1,0,151.0,700.0,45,24,1699,2
31755,1,0,67.0,300.0,0,73,2221,4
50388,1,0,24.0,200.0,84,73,1176,2
34529,0,0,39.0,1200.0,0,6,1229,4
37821,1,0,93.0,300.0,20,73,2101,2
50558,1,0,26.0,300.0,84,73,1873,2
28609,1,0,34.0,650.0,45,24,1900,4
32159,0,0,174.0,600.0,43,20,654,1
36023,0,0,576.5800000000017,600.0,44,73,1750,2
5690,0,0,31.0,1000.0,50,24,1682,2
36607,1,0,13.0,600.0,45,24,1923,4
7681,1,0,180.0,550.0,9,77,472,3
38018,1,0,75.0,350.0,66,37,1063,2
11109,1,0,108.0,500.0,30,73,488,4
7266,0,0,10.0,400.0,54,73,1735,2
41643,1,0,12.0,900.0,54,16,617,4
39882,1,0,101.0,500.0,61,24,870,2
17823,1,0,0.0,200.0,79,73,2185,2
49119,1,0,0.0,300.0,54,37,1323,2
48997,1,0,74.0,100.0,6,86,2321,2
29750,1,0,28.0,350.0,85,73,1507,2
13731,0,0,38.0,500.0,19,24,1682,2
7772,1,1,576.5800000000017,750.0,9,25,1617,4
28158,1,1,494.0,800.0,43,16,564,3
16523,1,0,17.0,400.0,22,73,1617,2
27131,1,0,28.0,450.0,0,37,1323,2
35516,1,0,576.5800000000017,750.0,43,24,788,2
31149,0,0,34.0,300.0,43,62,1643,4
13922,0,0,0.0,100.0,19,36,1168,2
14900,1,1,576.5800000000017,800.0,35,16,662,2
7255,0,0,40.0,400.0,54,23,642,2
32399,1,0,27.0,400.0,0,73,1469,2
34735,1,1,576.5800000000017,1300.0,43,24,712,0
42570,1,0,19.0,300.0,8,73,2358,2
35898,1,0,19.0,200.0,42,36,323,2
46179,1,0,155.0,500.0,63,37,1316,2
6839,1,0,6.0,500.0,54,36,1704,2
30910,1,0,27.0,200.0,43,37,1316,3
12283,1,0,6.0,300.0,20,73,2196,2
42596,0,0,0.0,100.0,75,11,318,2
33342,0,1,166.0,800.0,42,24,729,2
44610,0,0,6.0,250.0,57,73,1332,4
16184,0,0,227.0,500.0,22,73,392,2
12688,1,0,148.0,650.0,79,24,430,4
26729,1,0,325.0,500.0,44,24,52,2
23520,0,0,28.0,600.0,3,50,2031,4
17562,0,0,576.5800000000017,900.0,26,19,499,1
24241,1,0,203.0,800.0,34,24,175,2
32585,1,0,97.0,500.0,18,73,280,2
8528,1,0,17.0,400.0,42,73,392,2
3526,1,0,49.0,200.0,30,73,2262,4
50117,0,0,24.0,200.0,84,73,2236,1
51275,0,0,51.0,600.0,84,24,1735,4
46502,0,0,15.0,700.0,63,24,102,2
27115,1,0,30.0,800.0,22,24,269,2
21320,1,0,576.5800000000017,1000.0,28,6,1780,4
37896,1,0,443.0,700.0,79,17,671,2
9513,0,0,67.0,400.0,0,73,1682,2
25229,1,0,74.0,150.0,2,73,345,2
11952,0,0,102.0,550.0,67,24,720,2
35176,1,0,13.0,200.0,0,11,313,2
30132,1,1,576.5800000000017,1100.0,44,24,1377,2
30925,1,0,190.0,400.0,42,0,234,3
27920,0,0,40.0,300.0,44,37,1077,2
5408,1,0,50.0,550.0,74,16,628,2
12841,1,0,118.0,500.0,67,24,720,4
23519,1,0,57.0,350.0,3,73,1682,4
821,0,0,16.0,300.0,55,73,2185,4
11265,1,0,194.0,400.0,28,24,2266,4
47614,0,1,105.0,1000.0,66,68,931,2
12770,1,1,81.0,800.0,79,24,858,4
47792,1,1,525.0,800.0,74,24,1570,2
42591,1,0,46.0,1000.0,62,24,2185,2
15419,1,0,54.0,600.0,20,24,869,4
35740,1,0,42.0,300.0,18,73,798,2
35405,1,0,483.0,800.0,42,24,1050,2
18421,0,0,0.0,300.0,16,73,345,2
28995,0,0,7.0,300.0,0,83,1551,4
47484,1,0,104.0,400.0,8,84,1558,2
35241,1,0,42.0,400.0,3,50,626,2
51055,0,0,456.0,1300.0,84,24,1617,4
592,0,0,14.0,200.0,1,83,1558,4
46629,1,0,36.0,1200.0,87,25,2175,2
25630,0,0,7.0,600.0,35,24,1443,2
11667,0,0,46.0,350.0,8,16,492,1
42318,1,0,576.5800000000017,750.0,20,24,1950,2
19232,1,0,4.0,300.0,10,50,1302,4
43361,1,0,99.0,550.0,79,24,1514,4
9086,1,0,90.0,600.0,43,16,556,2
19775,1,0,8.0,300.0,28,73,2185,2
31117,1,0,16.0,500.0,43,16,564,4
14933,1,0,18.0,550.0,61,73,1696,2
20440,1,0,12.0,400.0,0,73,1126,2
24627,0,0,53.0,350.0,35,5,248,3
31734,1,1,126.0,900.0,22,24,1936,4
49610,0,0,7.0,300.0,6,37,1323,3
46099,1,1,348.0,900.0,59,30,885,6
34890,1,0,377.0,500.0,0,73,1897,2
21044,1,1,576.5800000000017,1300.0,30,24,1699,4
32025,1,0,9.0,700.0,45,7,1256,5
27211,1,0,20.0,600.0,45,36,1020,2
20315,1,0,315.0,300.0,30,73,2343,2
42563,1,0,112.0,600.0,26,24,798,2
15901,1,0,143.0,400.0,22,37,1063,2
18646,1,0,576.5800000000017,1300.0,26,24,171,4
31128,1,0,576.5800000000017,500.0,43,24,1890,4
35901,1,0,242.0,800.0,44,24,2149,2
35750,1,0,75.0,750.0,42,24,975,2
28063,0,0,26.0,400.0,44,73,1794,2
18784,1,0,332.0,800.0,26,26,929,4
7440,1,0,7.0,350.0,84,73,1205,2
1932,1,0,21.0,200.0,28,37,1323,3
37800,1,0,257.0,500.0,81,16,579,1
10857,0,0,8.0,1300.0,40,57,1229,4
2179,0,0,0.0,200.0,3,73,2185,4
32681,1,0,232.0,600.0,30,24,88,2
4072,1,0,48.0,400.0,6,73,1617,2
3076,0,0,141.0,200.0,30,84,1556,2
5694,0,0,221.0,150.0,77,37,1323,2
3761,0,0,46.0,1300.0,6,60,1250,0
43550,1,0,200.0,450.0,8,73,474,4
20193,1,0,296.0,350.0,1,73,1617,2
11933,0,0,358.0,400.0,67,73,1654,2
1127,1,0,85.0,300.0,28,73,2091,2
13982,1,0,54.0,450.0,19,37,1323,3
19834,1,0,229.0,500.0,43,37,1323,2
9881,1,0,12.0,300.0,28,75,331,2
34888,1,0,262.0,250.0,0,73,1617,2
40259,0,1,371.0,1300.0,71,46,1819,4
39220,0,0,5.0,150.0,4,73,2185,4
12681,1,0,94.0,550.0,79,24,1514,4
14274,1,0,220.0,300.0,19,73,827,4
26345,1,0,4.0,350.0,21,73,2055,4
49513,0,0,9.0,300.0,6,73,1682,2
43658,1,0,0.0,400.0,8,54,2071,4
26109,1,1,471.0,1300.0,34,65,263,4
22517,1,0,84.0,400.0,30,83,1558,2
14978,1,0,134.0,550.0,81,24,2171,2
13183,1,0,24.0,150.0,20,73,2185,4
37932,1,0,28.0,650.0,81,36,1272,2
35736,1,0,0.0,400.0,3,0,227,2
47263,0,0,118.0,650.0,67,24,852,0
10452,1,0,40.0,350.0,0,24,1969,4
17649,1,0,156.0,450.0,59,86,2058,2
14698,1,0,206.0,400.0,15,73,474,2
8089,0,0,9.0,400.0,84,73,720,4
12167,1,0,13.0,400.0,66,86,2362,2
27917,0,0,16.0,500.0,43,73,2074,2
12179,1,0,7.0,200.0,79,73,1682,2
48996,1,0,22.0,400.0,6,13,301,2
17606,0,0,209.0,500.0,26,16,617,1
35126,1,0,7.0,200.0,0,86,1549,2
2812,1,0,135.0,800.0,1,24,1719,2
24874,1,0,16.0,550.0,35,24,2390,4
37772,0,0,46.0,700.0,8,16,576,1
37199,1,0,9.0,300.0,67,73,447,4
6461,0,0,0.0,200.0,67,73,2036,4
8519,1,0,406.0,1000.0,3,24,0,2
7888,0,1,576.5800000000017,1300.0,84,24,198,4
46156,1,0,20.0,900.0,63,16,617,1
20443,0,0,13.0,400.0,30,36,257,2
28664,1,0,576.5800000000017,200.0,43,73,2185,4
39410,1,1,576.5800000000017,1300.0,53,24,1391,0
24809,1,0,13.0,400.0,34,73,51,4
32525,1,0,269.0,300.0,43,56,2406,2
32569,1,0,29.0,100.0,0,11,318,2
3749,1,1,576.5800000000017,1000.0,6,24,1945,0
14267,1,0,92.0,400.0,19,73,2235,4
1998,1,0,10.0,400.0,3,24,1735,4
48445,0,0,90.0,300.0,27,73,2232,4
33875,1,0,503.0,300.0,44,73,2341,4
39626,1,1,576.5800000000017,800.0,57,24,968,2
15330,0,0,0.0,200.0,20,36,1320,3
50692,0,0,5.0,500.0,84,24,1682,2
49144,0,0,15.0,500.0,6,73,1704,2
14688,1,0,56.0,150.0,8,73,2211,2
50548,0,0,38.0,350.0,84,86,1197,2
4015,1,0,44.0,600.0,72,16,596,2
8795,1,0,33.0,300.0,18,73,1617,2
31210,0,0,21.0,250.0,43,73,28,4
27082,1,0,26.0,400.0,44,73,1469,2
23125,0,0,0.0,150.0,30,14,303,3
38619,0,0,576.5800000000017,700.0,67,24,416,4
29254,0,0,25.0,1300.0,44,6,1236,5
32085,0,1,170.0,1300.0,42,6,2262,6
4013,1,0,210.0,200.0,22,73,1417,2
37119,1,0,576.5800000000017,700.0,39,16,556,4
33420,0,0,0.0,500.0,0,73,1897,2
4097,1,0,0.0,150.0,72,37,1316,2
51547,0,0,203.0,450.0,84,73,2266,4
21407,1,0,0.0,700.0,28,73,1906,4
16885,1,0,75.0,500.0,22,37,1323,3
37779,0,0,8.0,500.0,74,16,617,1
27345,1,0,70.0,400.0,45,37,1057,2
18066,1,1,144.0,700.0,26,16,650,2
38914,1,0,261.0,700.0,50,16,492,4
16124,0,0,6.0,500.0,22,36,1654,2
7199,0,0,576.5800000000017,1000.0,54,24,858,2
47476,1,0,131.0,700.0,8,24,2378,2
46010,0,0,0.0,200.0,26,73,384,4
11641,0,0,7.0,800.0,8,73,918,1
32872,1,0,9.0,200.0,0,73,2321,2
30653,0,0,157.0,300.0,44,37,1057,2
13333,0,1,424.0,1300.0,66,47,720,6
11509,0,1,576.5800000000017,1200.0,42,64,43,6
44072,1,0,120.0,800.0,69,36,2055,2
24775,1,0,498.0,250.0,34,73,2350,4
15237,0,0,7.0,250.0,61,73,1735,2
22314,1,0,464.0,500.0,0,16,507,2
44855,1,0,136.0,300.0,26,62,2262,2
26679,1,0,225.0,400.0,0,86,400,2
51670,0,0,26.0,1300.0,84,57,1814,5
46929,1,0,42.0,300.0,5,73,830,4
37986,1,1,576.5800000000017,1300.0,49,24,1389,2
28987,1,0,293.0,600.0,22,24,288,4
19544,1,0,38.0,250.0,0,86,2185,2
49621,0,0,10.0,200.0,6,11,303,3
16338,0,0,8.0,500.0,7,36,2262,2
10340,0,0,0.0,300.0,3,0,227,3
39683,1,1,576.5800000000017,1000.0,15,26,926,2
36008,1,0,23.0,400.0,30,73,51,2
39744,1,0,159.0,300.0,81,16,642,2
32931,1,0,465.0,500.0,0,16,507,2
50305,1,0,45.0,300.0,84,36,1682,2
618,0,0,128.0,850.0,1,24,858,4
45548,1,1,576.5800000000017,1000.0,26,17,565,3
28199,1,0,210.0,200.0,43,11,313,3
46589,0,0,0.0,400.0,5,83,1547,2
27882,0,0,203.0,350.0,44,54,267,2
2465,1,1,576.5800000000017,1200.0,3,25,1029,5
17290,0,0,41.0,500.0,22,73,51,4
19500,1,0,130.0,300.0,1,73,2098,2
3123,0,0,0.0,300.0,13,73,1682,2
38660,0,1,576.5800000000017,1300.0,67,46,1103,4
43973,0,1,576.5800000000017,1100.0,57,24,864,0
40979,1,0,10.0,300.0,84,86,82,2
27582,1,1,484.0,700.0,43,24,1986,2
31201,1,0,76.0,450.0,43,73,2142,4
36608,1,0,267.0,650.0,45,24,1615,4
35888,1,0,172.0,550.0,43,24,1982,2
23198,1,0,200.0,400.0,28,73,1513,4
25927,1,0,109.0,450.0,2,37,1323,3
48968,1,0,54.0,500.0,22,73,1137,2
35997,0,0,34.0,150.0,43,83,1555,2
21508,1,0,40.0,600.0,4,24,1798,4
1253,1,0,171.0,300.0,3,16,492,2
38511,1,0,17.0,200.0,8,11,313,3
44956,1,0,528.0,350.0,18,36,463,2
25982,0,0,27.0,150.0,24,39,1318,3
26814,1,0,576.5800000000017,700.0,22,16,541,2
15406,0,1,576.5800000000017,1100.0,20,24,1049,4
10744,1,0,0.0,300.0,0,73,1469,4
38298,0,0,16.0,250.0,50,16,492,2
5371,1,0,115.0,450.0,26,17,513,2
26961,1,0,11.0,100.0,22,83,1558,2
30181,1,0,71.0,1000.0,0,24,1629,2
39619,1,0,93.0,300.0,57,73,2350,2
44139,1,0,81.0,300.0,57,37,1057,2
39544,1,0,49.0,400.0,57,73,1772,2
30980,0,0,11.0,300.0,44,86,1059,3
42647,1,0,25.0,300.0,66,73,2342,2
19974,1,0,74.0,800.0,30,24,173,2
3614,0,0,0.0,600.0,13,24,2185,4
20152,1,0,187.0,400.0,46,73,796,2
29502,1,0,22.0,400.0,0,73,1682,2
1834,0,0,131.0,400.0,3,83,1558,3
9374,1,1,576.5800000000017,1200.0,42,6,1251,2
44942,1,1,576.5800000000017,1300.0,26,24,720,2
44580,1,0,15.0,200.0,57,73,1853,4
46637,1,0,39.0,300.0,63,37,1080,3
49276,1,0,56.0,600.0,6,73,1682,2
122,0,0,6.0,100.0,1,73,1218,2
40555,0,0,0.0,600.0,54,1,236,1
28571,0,0,0.0,300.0,43,62,52,4
51611,0,0,73.0,800.0,84,24,788,4
38,1,0,576.5800000000017,750.0,30,24,1950,2
17679,1,0,551.0,350.0,78,73,2252,2
11030,1,0,41.0,700.0,22,24,1682,4
12656,0,1,538.0,1300.0,50,30,1954,4
48920,1,0,90.0,300.0,6,73,2266,2
4924,1,0,204.0,500.0,72,24,1660,4
2700,1,0,10.0,500.0,1,73,1137,2
40208,1,0,44.0,300.0,53,73,1137,4
14133,1,0,61.0,600.0,19,24,266,4
27377,1,0,506.0,600.0,44,16,552,2
45567,1,0,42.0,400.0,16,38,1059,3
34247,1,0,10.0,300.0,45,73,1228,4
47242,1,1,576.5800000000017,1300.0,49,24,1360,0
22017,1,1,576.5800000000017,900.0,3,24,157,2
33743,1,0,0.0,200.0,45,0,227,3
26087,1,0,211.0,550.0,35,73,1610,4
34861,0,0,46.0,600.0,39,16,556,1
34173,0,0,17.0,300.0,45,16,617,4
7791,1,0,86.0,500.0,9,24,1664,4
29009,1,0,212.0,800.0,22,24,1769,4
40342,1,0,418.0,700.0,57,24,726,4
4488,0,0,128.0,600.0,6,5,251,3
19951,1,0,60.0,700.0,47,24,1617,2
31896,0,0,26.0,150.0,0,73,345,4
39463,1,0,285.0,400.0,53,50,2396,2
23468,1,0,32.0,800.0,3,24,1982,4
3343,1,0,449.0,100.0,4,73,2321,4
14163,1,0,9.0,550.0,19,24,1692,4
105,0,0,13.0,300.0,1,0,234,2
32209,0,0,236.0,500.0,42,16,617,1
2056,1,0,256.0,500.0,3,73,474,4
43175,1,1,576.5800000000017,1300.0,50,24,204,4
13883,0,0,47.0,400.0,19,36,1700,2
34218,1,0,576.5800000000017,250.0,43,73,876,4
2620,1,0,364.0,550.0,4,24,2228,2
10530,1,0,32.0,900.0,0,71,1238,4
49470,0,0,39.0,330.0,6,50,1545,2
47187,0,0,35.0,800.0,73,25,1928,5
30933,0,0,576.5800000000017,200.0,39,37,1318,3
6309,0,0,52.0,1200.0,67,24,1838,4
36531,0,0,21.0,200.0,0,44,1094,3
47094,1,0,166.0,400.0,53,37,1083,4
31146,0,0,0.0,300.0,43,62,52,4
1198,1,0,34.0,100.0,3,73,2321,2
21474,0,0,40.0,100.0,28,73,2185,4
40975,1,0,62.0,600.0,84,36,47,2
44653,1,0,164.0,300.0,70,73,864,4
30122,1,0,35.0,250.0,30,73,392,2
31689,1,1,576.5800000000017,800.0,0,24,432,4
40527,0,0,118.0,1200.0,54,25,1682,0
30317,1,0,243.0,800.0,44,24,2149,2
15919,1,0,8.0,500.0,39,86,1374,2
46164,1,0,505.0,500.0,53,16,685,1
26106,1,0,30.0,300.0,35,73,2283,4
47735,0,0,0.0,600.0,66,24,2196,2
24860,1,0,202.0,600.0,21,24,788,4
26471,0,1,419.0,1300.0,34,65,1096,5
23630,1,0,465.0,300.0,0,73,1652,4
21870,1,0,199.0,300.0,0,73,1617,2
31270,1,1,576.5800000000017,1000.0,42,24,2407,4
24156,1,0,27.0,350.0,24,73,1928,2
46894,1,1,576.5800000000017,800.0,5,24,1917,4
25578,0,0,24.0,550.0,35,16,621,2
1778,0,0,25.0,400.0,28,73,1595,2
48832,0,0,11.0,700.0,75,6,2262,5
3280,0,0,13.0,400.0,30,36,257,3
35350,1,0,50.0,350.0,0,73,1312,2
27872,0,0,34.0,300.0,43,62,1643,2
26538,1,1,576.5800000000017,700.0,42,16,492,1
10596,0,0,17.0,200.0,0,73,1682,4
9861,0,0,19.0,250.0,3,73,2108,2
32306,1,0,557.0,400.0,43,73,2398,2
34141,0,0,19.0,300.0,45,14,306,4
12752,0,0,116.0,1300.0,50,46,42,4
46654,0,0,10.0,300.0,63,73,1116,3
26032,1,0,118.0,550.0,35,24,720,4
587,1,0,247.0,500.0,1,24,1617,4
17246,0,0,14.0,250.0,22,73,2395,4
51399,1,0,124.0,400.0,84,1,237,4
2964,0,0,148.0,150.0,4,73,1221,2
27180,0,1,467.0,800.0,42,16,580,2
7221,0,0,4.0,400.0,54,73,54,2
31890,0,0,112.0,500.0,0,24,768,4
35226,1,0,111.0,500.0,30,73,488,2
34562,1,0,14.0,200.0,0,73,1982,4
38877,0,0,6.0,400.0,14,16,492,4
37544,0,1,576.5800000000017,1300.0,45,7,1537,5
28890,1,0,7.0,400.0,44,73,138,4
32137,1,1,576.5800000000017,1000.0,41,16,581,1
51671,0,0,77.0,1300.0,84,47,1229,5
1171,1,0,576.5800000000017,750.0,28,24,886,2
32370,1,0,327.0,650.0,3,24,1682,2
35924,0,0,26.0,650.0,43,86,1719,2
11811,1,1,576.5800000000017,1300.0,50,24,2319,2
36182,0,0,6.0,250.0,18,73,1186,2
30810,1,0,9.0,400.0,30,73,1682,2
8261,0,1,201.0,1300.0,0,24,1002,0
41753,1,0,374.0,300.0,54,73,1962,4
34189,0,0,576.5800000000017,400.0,43,73,1543,4
11023,1,0,259.0,750.0,43,24,1594,4
29996,1,0,7.0,200.0,16,36,1871,2
20749,0,0,31.0,300.0,0,73,1854,2
10381,0,0,10.0,250.0,3,50,1335,3
44726,1,1,576.5800000000017,1300.0,26,24,1388,0
4657,0,0,542.0,750.0,6,24,2071,4
15203,1,0,0.0,100.0,14,11,2375,2
40040,0,0,51.0,200.0,53,37,1317,3
15753,0,0,576.5800000000017,1300.0,20,71,1005,5
5641,0,0,576.5800000000017,1200.0,49,68,1049,2
