cuisines,cuisines_code
"North Indian, Afghani, Mughlai",1620
"Italian, Chinese, Street Food",1356
"South Indian, Healthy Food",2244
"Cafe, American, Pizza",509
"Street Food, North Indian, South Indian",2357
"North Indian, South Indian, Biryani, Beverages",1979
"South Indian, Street Food",2304
"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",2145
"North Indian, Fast Food",1853
"Cafe, Continental, Beverages, Desserts",566
"North Indian, Chinese, Rolls, Biryani, Kebab",1785
"Pizza, Italian, Salad",2082
"Fast Food, Chinese, Rolls",1159
"Fast Food, Chinese",1152
"Mexican, Italian",1544
"Ice Cream, Desserts, Beverages",1325
"Juices, Fast Food",1409
"South Indian, Chinese, Street Food",2231
"Fast Food, Desserts, Ice Cream",1170
"Cafe, Fast Food, Chinese",620
"Desserts, Momos",1088
"Cafe, Continental, Fast Food",578
"Cafe, Italian, Pizza",661
"North Indian, Seafood, Chinese",1965
"Chinese, Thai, Continental, North Indian",862
"Mithai, South Indian, Street Food, Fast Food",1557
"South Indian, North Indian, Desserts",2286
"South Indian, Burger",2203
"Beverages, Desserts",299
"Mangalorean, Seafood, North Indian",1517
"Biryani, Chinese, North Indian",370
"Pizza, Fast Food, BBQ",2073
"Seafood, Mangalorean",2164
"Andhra, North Indian, Chinese",88
"Beverages, Ice Cream, Fast Food",315
"Fast Food, Desserts, Beverages",1168
"Chinese, North Indian, Pizza, Italian",825
"Desserts, Beverages, Ice Cream",1068
"Rolls, Lebanese",2109
Beverages,292
"Continental, Finger Food, Seafood, Pizza",965
"Chinese, Street Food, Ice Cream",855
"Sandwich, Fast Food, Rolls",2138
"South Indian, North Indian, Chinese, Fast Food",2273
Rolls,2099
"Ice Cream, Beverages, Fast Food",1320
Mithai,1547
"Desserts, Fast Food, Continental",1079
"Italian, Fast Food, Salad, BBQ",1366
"Italian, Pizza, North Indian, Salad",1387
"Fast Food, Continental, Beverages, Salad, Healthy Food",1162
"North Indian, South Indian, Fast Food, Juices",2013
"Cafe, Italian, Beverages",645
"North Indian, Continental",1818
"Tibetan, Momos",2396
"Bakery, French, Desserts",255
Juices,1401
"North Indian, Chinese, Biryani, South Indian",1716
"Juices, South Indian, Chinese, Fast Food",1417
"North Indian, South Indian, Chinese, Biryani, Seafood",1988
"Tea, Beverages, Fast Food",2371
"Fast Food, Momos",1188
"Biryani, North Indian, Chinese, Seafood",426
"Healthy Food, South Indian",1300
"South Indian, Bakery, Chinese",2193
"Momos, Tibetan, Chinese",1577
"Healthy Food, North Indian, Thai",1292
"Fast Food, Sandwich",1210
"North Indian, South Indian",1969
"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",1784
"South Indian, Chinese, Continental, Biryani",2216
"North Indian, South Indian, Chinese, Biryani",1986
"Pizza, Italian, Continental, Desserts",2080
"Fast Food, Burger, Pizza",1145
"Chinese, Biryani",738
"Andhra, Biryani, North Indian, Chinese",61
"Fast Food, Mithai",1187
"North Indian, Continental, Finger Food, American, Asian",1837
"North Indian, Biryani",1654
"Cafe, Continental, Beverages",564
"South Indian, North Indian, Chinese, Street Food, Beverages",2281
"South Indian, Chinese, North Indian, Street Food, Rolls, Juices",2228
"Mangalorean, South Indian, North Indian",1522
"North Indian, South Indian, Chinese, Fast Food, Juices",1997
"Tea, Beverages",2370
"Beverages, Juices, Desserts, Italian",319
"Mithai, Street Food, North Indian, Chinese",1561
"Bakery, Street Food",262
Finger Food,1229
"Chinese, Momos, Thai, Vietnamese",791
"Mangalorean, Chinese",1506
Continental,885
"Mughlai, North Indian, Chinese",1602
"Fast Food, Finger Food",1173
"Juices, Street Food",1418
"South Indian, North Indian, Seafood, Mangalorean",2295
"Fast Food, Beverages",1126
"Mangalorean, Seafood",1514
"Street Food, Rolls",2358
"North Indian, Chinese, Thai",1813
"Italian, Continental",1357
"South Indian, Chinese, Desserts, Beverages",2217
"Biryani, South Indian, North Indian, Chinese, Andhra",457
"South Indian, Fast Food, Street Food",2242
"South Indian, Fast Food, North Indian, Desserts",2241
"North Indian, Mughlai",1917
"North Indian, Chinese, Mughlai",1769
"Chinese, Rolls, Biryani, Momos",840
"North Indian, Italian",1878
"Arabian, Biryani, Chinese, Middle Eastern, Fast Food, North Indian, Mughlai, Seafood",115
"North Indian, South Indian, Chinese, Continental",1989
"North Indian, European, Mediterranean, BBQ, Kebab",1851
"North Indian, South Indian, Chinese",1982
"BBQ, Arabian, Chinese, North Indian, Desserts",214
"North Indian, Continental, Chinese",1826
"North Indian, Chinese, Thai, Mughlai, Seafood",1817
"North Indian, Continental, South Indian, Chinese",1847
"Cafe, Fast Food, Chinese, Continental",622
"Cafe, Bakery, Beverages",515
"Cafe, Fast Food, Desserts, Beverages",626
"Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices",633
"Cafe, Desserts",608
"Desserts, Cafe, Beverages",1071
"Cafe, North Indian, Chinese, Continental",681
"Chinese, Fast Food, Cafe, Street Food, Finger Food",767
"Cafe, Healthy Food",632
"Cafe, Continental, North Indian, Bakery, Desserts",595
"Cafe, Fast Food, Desserts",625
"Cafe, Sandwich, Burger",696
"Cafe, Continental, North Indian",594
"Cafe, Continental, Italian",581
"Cafe, Sandwich, North Indian, Beverages, Desserts",698
"Cafe, Beverages, Fast Food",526
"Burger, Cafe, Desserts, Sandwich, Italian",467
"Cafe, American, Burger, Sandwich, Fast Food",498
"Continental, Burger, Beverages, Cafe, Italian, Rolls",917
"Cafe, North Indian",678
"Cafe, Italian, Desserts",654
"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",1290
"Andhra, North Indian, Biryani",85
"Biryani, North Indian",411
"North Indian, South Indian, Seafood, Rolls",2028
"Bengali, Chinese",269
"Bengali, North Indian",280
"Arabian, Middle Eastern",140
"Kerala, Seafood, South Indian, Chinese, North Indian, Charcoal Chicken, Beverages",1467
"North Indian, Charcoal Chicken",1681
"Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",415
"Pizza, Italian, Beverages",2075
"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",400
"Chinese, Momos",788
"Oriya, Fast Food",2048
"North Indian, Cafe, Fast Food, Beverages",1680
"Biryani, Andhra",346
"North Indian, Bihari",1652
"Burger, Fast Food, Roast Chicken, Finger Food",479
"Andhra, Chinese, Biryani",69
"Andhra, Biryani",52
"Kerala, South Indian",1469
Bohri,459
"Biryani, Chinese, Fast Food",364
"Biryani, North Indian, Mughlai",432
"North Indian, Mughlai, Biryani",1923
"Juices, Beverages, Ice Cream",1404
"Biryani, North Indian, Kebab",430
"Kebab, North Indian, Fast Food, Beverages",1427
"Mughlai, North Indian, Chinese, Momos",1604
"Andhra, North Indian",84
"Fast Food, Arabian",1119
"Biryani, Andhra, North Indian",350
"Biryani, Kebab",392
Bengali,266
"North Indian, Chinese, Biryani, Fast Food",1708
"Biryani, Chinese, Mughlai, Fast Food, Kebab",369
"Seafood, BBQ, Biryani",2143
"Fast Food, North Indian, South Indian",1198
"Chinese, Hyderabadi, North Indian",777
"African, Burger",0
"Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe",988
"Arabian, North Indian, Chinese, Seafood, Biryani, Rolls, Beverages",158
"North Indian, Chinese, Street Food",1806
"Sandwich, Fast Food",2134
"Fast Food, North Indian",1190
"North Indian, Chinese, Fast Food, Rolls, Juices",1742
"American, Chinese, Continental, North Indian",11
"North Indian, BBQ, Biryani, Kebab",1640
"North Indian, Biryani, Mughlai, Kebab",1671
"North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices",2003
"Kebab, Rolls, Charcoal Chicken",1429
"Chinese, Thai, Momos, Vietnamese",865
Burger,461
"Chinese, North Indian, Andhra, South Indian",800
"North Indian, Chinese, Fast Food, BBQ",1736
"Biryani, South Indian, Kebab",454
"Bengali, Mughlai",278
"Desserts, Ice Cream, Beverages",1081
"Biryani, North Indian, South Indian",436
"Chinese, Continental, Fast Food, Healthy Food",746
"Fast Food, North Indian, Chinese, Mughlai, Rolls",1193
"Desserts, Beverages, Bakery, Ice Cream",1065
"Rolls, Chinese, Fast Food",2102
"Street Food, Fast Food, Rolls, Desserts",2340
"Mexican, American, Fast Food",1541
"North Indian, Chinese, Momos",1767
"Street Food, South Indian",2362
"Fast Food, Bengali",1124
"Bengali, North Indian, Chinese",281
"South Indian, Andhra",2186
Rajasthani,2091
"Chinese, Fast Food, Asian, Beverages, Nepalese, Tibetan",764
Healthy Food,1271
"Asian, Continental, Finger Food",186
"Momos, Street Food, Fast Food, Tibetan, Chinese",1575
"Street Food, Mithai, North Indian",2347
"Chinese, North Indian, Street Food",834
"Ice Cream, Juices, Beverages",1336
"Continental, North Indian, Pizza, Italian",1029
"Kerala, North Indian",1452
"Rolls, Chinese",2101
"Continental, American",886
"Continental, Sandwich, Burger, Italian, Salad, Pizza",1042
"Chinese, North Indian, South Indian",830
"South Indian, Kerala",2249
"Cafe, Beverages, Desserts",525
"Mithai, North Indian, Street Food, Chinese",1554
"Street Food, Sandwich",2359
"Bakery, Desserts, Fast Food",238
Mangalorean,1505
"Chinese, Tibetan, Momos",876
"North Indian, Chinese, Seafood, Biryani, Mangalorean",1790
"Biryani, South Indian, Andhra",448
"American, Continental",12
"American, Burger, Fast Food",6
"North Indian, Mughlai, Biryani, Rolls",1926
"Andhra, North Indian, Chinese, Seafood",93
"Bakery, Desserts, Beverages",235
"Cafe, Asian, Burger, Continental, Italian, Salad",512
"Chinese, Thai, Seafood, North Indian, Momos",872
"American, Sandwich",47
"Kerala, South Indian, North Indian",1474
"Sandwich, Beverages",2133
"North Indian, Chinese, Biryani, Hyderabadi",1709
"Burger, Sandwich, Finger Food",489
"Mangalorean, North Indian, Chinese, Seafood",1513
"South Indian, Continental, North Indian",2234
"Hyderabadi, North Indian",1312
"Healthy Food, Beverages",1272
"Maharashtrian, Seafood",1501
"Continental, Finger Food, North Indian, Chinese",961
"Tamil, Fast Food",2366
"Bengali, Chinese, Rolls",274
"South Indian, North Indian, Fast Food",2287
"Mexican, Tex-Mex",1545
"Beverages, Juices, Fast Food, Rolls",321
"North Indian, Street Food, Mithai",2039
"Desserts, Belgian, Beverages",1062
"Street Food, North Indian",2350
"Continental, Italian, American",969
"Healthy Food, Juices",1284
"Street Food, Beverages, Gujarati",2326
"Street Food, North Indian, Beverages",2352
"North Indian, Chinese, Biryani, Seafood",1714
"Ice Cream, Beverages",1318
"Chinese, Rolls, North Indian",842
"Rajasthani, North Indian",2095
"Beverages, Juices, Healthy Food",323
"Asian, Continental, European",181
"Mithai, Desserts, Fast Food",1550
"South Indian, Street Food, Juices",2311
"Continental, Italian",968
"Kerala, South Indian, Biryani",1470
"Mughlai, Arabian, BBQ",1579
"Finger Food, Chinese, Continental",1233
"Roast Chicken, Burger",2098
"North Indian, Chinese, Arabian",1688
"Cafe, Italian, Mexican, Chinese",660
"Bakery, Fast Food",244
"North Indian, South Indian, Chinese, Biryani, Mexican",1987
"North Indian, South Indian, Chinese, Fast Food",1995
"Street Food, Juices",2342
"Fast Food, Juices",1182
"Rolls, Juices",2105
"Chinese, Fast Food, North Indian",771
"Fast Food, Italian, Pizza",1181
"North Indian, South Indian, Seafood, Biryani, Chinese",2026
"Biryani, Fast Food, North Indian",380
BBQ,213
"North Indian, Biryani, Andhra, Chinese",1655
"Cafe, American, Italian, Continental, Chinese",507
"Cafe, Chinese, Fast Food, Burger, North Indian",550
"Mexican, Fast Food",1543
"North Indian, Chinese, Kebab",1753
"Continental, Italian, Beverages",970
"Ice Cream, Desserts, Bakery",1324
"North Indian, Fast Food, Beverages, Momos",1855
"Continental, Chinese, Thai, Italian, BBQ, Steak",942
"Fast Food, Burger, Sandwich",1148
"Arabian, Chinese, North Indian, Kerala, Juices",126
"North Indian, Arabian, Fast Food",1630
"South Indian, Chinese, North Indian, Seafood",2226
"Desserts, Bakery",1059
"Cafe, Continental, Asian",562
"Chinese, South Indian, North Indian",852
Seafood,2142
"Continental, North Indian, Chinese",1005
Kerala,1430
"South Indian, Kerala, Biryani",2252
"Tea, Fast Food",2375
"Italian, Chinese, Japanese",1355
"Cafe, Italian, Chinese, Beverages",647
"Fast Food, Beverages, Sandwich",1132
"Continental, Chinese, North Indian",936
Gujarati,1269
"Burger, Fast Food, Desserts, Sandwich",477
"South American, Continental, Italian",2184
"Bengali, North Indian, Oriya",284
"Rolls, Kebab, Biryani",2107
"North Indian, Arabian",1627
"Andhra, Biryani, Chinese, North Indian",56
"Fast Food, Chinese, Beverages",1153
"Fast Food, Desserts",1167
"North Indian, Andhra, Biryani",1624
"Chinese, North Indian, Fast Food, Momos",812
"Chinese, North Indian, Fast Food",811
"Chinese, North Indian, Seafood",829
"Rolls, Kebab, Fast Food",2108
"North Indian, South Indian, Andhra",1970
"Chinese, Seafood, North Indian",846
"North Indian, Chinese, Hyderabadi",1746
"North Indian, Andhra, Chinese",1625
"Biryani, Mughlai",403
"Biryani, Chinese",360
"Beverages, Juices",318
"Finger Food, Continental, Chinese",1238
"Healthy Food, Fast Food",1283
Maharashtrian,1498
"South Indian, North Indian, Chinese, Street Food, Juices",2283
"American, Burger, Italian, Steak",7
"Healthy Food, North Indian",1287
"Chinese, North Indian, Mughlai",822
"North Indian, Biryani, Chinese, Seafood",1666
"Bakery, Desserts, Sandwich",242
"Ice Cream, Desserts, Juices",1328
"Seafood, Salad, North Indian, Biryani, Chinese",2176
"Beverages, Pizza",331
"Chinese, Tibetan, North Indian, Momos",878
"Chinese, South Indian",849
"Sandwich, Fast Food, Burger, Rolls",2136
"South Indian, Seafood, Rolls, Beverages",2303
"Konkan, Mangalorean, North Indian, Seafood",1480
"Kerala, Seafood, Biryani, Desserts",1462
"Fast Food, Juices, Street Food",1184
"South Indian, Biryani, North Indian",2201
"Pizza, Continental, North Indian, Chinese",2069
"South Indian, Biryani, Chinese",2198
"Bakery, Fast Food, Italian",251
"Biryani, Seafood, Chinese, Charcoal Chicken",445
"Salad, Healthy Food",2125
"North Indian, Kerala, Chinese",1899
"North Indian, South Indian, Biryani",1978
"North Indian, South Indian, Chinese, Street Food",2004
"Andhra, Chinese, North Indian, South Indian",75
"Arabian, Middle Eastern, Rolls, Seafood, BBQ",142
"North Indian, Fast Food, Street Food",1865
"Fast Food, North Indian, Chinese",1191
"Chinese, North Indian, Biryani",805
"Mughlai, Kebab, Biryani",1595
"North Indian, Rolls",1957
"Mughlai, Biryani, Kebab",1584
"Continental, Finger Food",958
"Pizza, South Indian, Healthy Food",2088
"North Indian, Biryani, Chinese",1660
"Beverages, Healthy Food",312
"North Indian, Chinese, Bengali",1700
"Kerala, Chinese, South Indian",1445
"Cafe, American, Continental, Italian",500
"American, Continental, Salad, Italian",22
"Juices, Beverages, Salad",1406
"Arabian, Middle Eastern, Rolls",141
"Cafe, Continental, Pizza, Italian, Beverages",597
"Ice Cream, Desserts, Rolls",1329
"Ice Cream, Juices",1335
"South Indian, Mithai, Chinese, North Indian",2261
"Desserts, Italian, Pizza",1085
"Street Food, Mithai",2344
"Kerala, North Indian, Chinese",1453
"North Indian, Chinese, Seafood",1788
"North Indian, Chinese, Italian, South Indian",1749
"Beverages, Street Food",338
"North Indian, Continental, Street Food",1848
"North Indian, South Indian, Pizza",2024
"Arabian, Mediterranean, North Indian",139
"South Indian, Fast Food, North Indian",2240
"Chinese, Asian",726
"Hyderabadi, Andhra, North Indian",1304
"North Indian, Asian, Seafood, Chinese",1637
"European, Continental",1101
"North Indian, South Indian, Chinese, Seafood",2002
"Finger Food, North Indian, Chinese",1251
"North Indian, Chinese, Kebab, Juices",1756
"North Indian, Mangalorean, Chinese",1908
"South Indian, Chettinad, Kerala, Seafood",2208
"North Indian, Asian, Continental",1635
"Continental, Chinese, North Indian, South Indian",939
"North Indian, Afghani",1619
"Cafe, Continental, Mediterranean, Italian, Desserts",590
"Cafe, Chinese, Continental, Fast Food",548
"Healthy Food, Cafe, Beverages",1278
"Cafe, Continental, Beverages, Healthy Food, Desserts, Sandwich, Pizza, Salad",568
"Cafe, Salad, Wraps, Beverages",694
"Cafe, Continental, Sandwich, Beverages",602
"South Indian, Chinese, Beverages, Cafe, Coffee, Fast Food, Momos, North Indian",2213
"Chinese, Fast Food, Cafe",766
"Cafe, Fast Food, Pizza, Burger",628
"Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",490
"Biryani, Andhra, North Indian, Chinese",351
"North Indian, Beverages",1649
"South Indian, Coffee",2233
"Biryani, North Indian, Rolls",434
"Healthy Food, Continental, Juices, Salad, Burger, Beverages, Desserts",1280
"Chinese, Tibetan",874
"Continental, Mexican, Chinese, North Indian",995
"Burger, Sandwich, Beverages",488
"North Indian, South Indian, Gujarati",2015
"Bakery, Fast Food, Desserts, Beverages",249
"Kerala, Seafood, Chinese, Biryani, Juices",1465
"Arabian, Rolls, North Indian, BBQ",162
"Fast Food, North Indian, Rolls",1197
"Chinese, Continental, Burger, Pizza",744
"Mangalorean, Chinese, North Indian",1507
"Chinese, Continental, Desserts, Bakery",745
"Burger, Pizza, Fast Food",484
"Chinese, North Indian, Arabian",801
"Andhra, North Indian, Chinese, Mangalorean, Seafood, Biryani",92
Tea,2369
"Cafe, Continental, Burger",569
"Mangalorean, Seafood, North Indian, Chinese",1518
"Mughlai, Biryani",1581
"North Indian, Chinese, Pizza, BBQ",1780
"Mangalorean, South Indian",1521
"Cafe, Continental, Italian, Burger",583
"Seafood, Biryani, South Indian, North Indian, Chinese, Kebab",2153
"Pizza, Salad",2086
"European, French, Salad",1105
"Italian, Mexican",1370
"Maharashtrian, Fast Food, Street Food, Sandwich",1499
"Street Food, Maharashtrian",2343
"Biryani, North Indian, Chinese, Rajasthani",424
"Chinese, North Indian, Biryani, Kebab",807
"Asian, Continental",180
"Chinese, Tibetan, Fast Food",875
"South Indian, Andhra, Chinese",2188
"Seafood, Mangalorean, South Indian",2168
"Mughlai, North Indian, Kebab, Rolls, Chinese",1607
"Konkan, Seafood",1482
"Fast Food, Tea",1227
"Mithai, South Indian",1556
"Continental, Italian, Chinese, North Indian",976
"Arabian, North Indian, Chinese, Kerala",154
"North Indian, Arabian, Chinese",1629
"South Indian, North Indian, Chinese, Kebab",2276
"Street Food, Beverages",2324
"Bakery, Healthy Food",257
"North Indian, Chinese, Kebab, Rolls",1758
"South Indian, North Indian, Chinese, Desserts, Juices",2272
Sandwich,2132
"Desserts, Asian, Beverages",1058
"Andhra, Chinese, North Indian",70
"Desserts, Ice Cream, Beverages, Sandwich",1083
"Seafood, Chinese, South Indian, North Indian",2157
"Salad, Fast Food, Sandwich, Healthy Food",2123
"Pizza, Beverages, Ice Cream",2059
"Biryani, Andhra, North Indian, Seafood",352
"North Indian, Mughlai, Afghan",1918
"Pizza, Italian, Chinese, Thai",2079
"Asian, Chinese, Continental, Italian",173
"Continental, Biryani, Desserts, Italian, North Indian, Chinese, Modern Indian, Asian",913
"North Indian, Continental, Chinese, South Indian",1832
"North Indian, Chinese, Continental, Pizza",1728
"South Indian, Chinese, Biryani",2214
"North Indian, Chinese, Mughlai, Seafood",1776
"North Indian, South Indian, Continental",2007
"Seafood, Goan, North Indian, Continental, Asian",2160
"Asian, North Indian, South Indian, Momos",201
"North Indian, Mughlai, Mediterranean, Iranian",1945
"North Indian, Chinese, Continental, Mexican",1726
"North Indian, Continental, Asian",1819
"North Indian, Mughlai, Mediterranean",1944
"Chinese, North Indian, Salad, Fast Food",828
"North Indian, Italian, Chinese, Asian",1881
"Chinese, Italian, North Indian",781
"Finger Food, North Indian",1250
"North Indian, European, Mediterranean, BBQ",1850
"North Indian, Mughlai, Italian",1941
"European, Mediterranean, North Indian, BBQ",1111
"Asian, Chinese, Continental, North Indian, South Indian",174
"North Indian, Continental, Chettinad, Andhra, Bengali",1825
"Goan, Asian, North Indian, European, Continental",1263
"North Indian, Lucknowi, Gujarati, Maharashtrian, South Indian, Bengali",1904
"Continental, Thai, Vietnamese, American, Chinese, North Indian, Finger Food",1056
"North Indian, South Indian, Andhra, Cafe",1971
"Cafe, Healthy Food, Salad",637
"Cafe, Bakery, Italian",522
"Bakery, Fast Food, Pizza, Burger, Cafe",253
"Tea, Fast Food, Cafe",2377
"Cafe, Continental, Tea",605
"Cafe, Desserts, Ice Cream",614
"Cafe, European, Beverages, Italian",615
"Cafe, Burger, Italian, Salad",540
"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",1322
"Cafe, Italian, Continental, Burger",651
"Cafe, Beverages, Continental, North Indian, Chinese",524
"Cafe, Rolls, Fast Food",690
"Cafe, Fast Food, Pizza, Burger, Beverages",629
"North Indian, Biryani, Chinese, Beverages",1662
"Kerala, Seafood, South Indian, Biryani",1466
"North Indian, Healthy Food, Beverages",1872
"Kerala, Seafood, Biryani, South Indian",1463
"North Indian, Chinese, Oriya",1777
"Kerala, Biryani, South Indian",1438
"Beverages, Juices, Ice Cream, Fast Food, Sandwich",326
"Biryani, Seafood, Andhra, North Indian",444
"North Indian, Chinese, Street Food, Fast Food, Mithai",1809
"Arabian, Kerala, North Indian, Chinese, BBQ",131
"Andhra, Biryani, South Indian, Chinese",66
"Arabian, North Indian, Seafood, Chinese, Biryani",159
"North Indian, Biryani, South Indian",1676
"Biryani, Rolls",439
"North Indian, Continental, BBQ",1822
"Biryani, Kebab, Rolls, Mughlai",397
"Andhra, Biryani, Chinese, Hyderabadi, North Indian, South Indian",55
"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala",2151
"North Indian, Mughlai, Biryani, Chinese",1924
"Andhra, Biryani, North Indian, South Indian",62
"North Indian, Chinese, Juices",1752
"North Indian, Andhra",1622
"American, Italian, Bakery, Desserts, Sandwich, Beverages, Salad, Rolls",34
"Arabian, North Indian, Chinese, Kerala, Seafood, Biryani",155
"Beverages, Fast Food, Tea",311
"American, North Indian, Chinese, Finger Food",40
"North Indian, Biryani, Andhra, South Indian",1656
"Andhra, Chinese, North Indian, Hyderabadi",73
"Continental, North Indian, Beverages",1004
"Bakery, Desserts, Italian",240
"Hyderabadi, Andhra, North Indian, Chinese, South Indian",1305
"Continental, North Indian, Italian, South Indian, Finger Food",1024
"American, Tex-Mex, Burger, BBQ",49
"Hyderabadi, North Indian, Biryani",1313
